frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,1.656419,0.110538,0.110538,3.312838
1,0.033367,far,0.983516,0.065633,0.065633,1.967031
2,0.066733,near,1.474681,0.147616,0.147616,3.312838
2,0.066733,far,0.779869,0.078065,0.078065,1.967031
3,0.100100,near,1.395359,0.186234,0.186234,3.312838
3,0.100100,far,0.678046,0.090497,0.090497,1.967031
4,0.133467,near,1.783882,0.297611,0.297611,3.337974
4,0.133467,far,0.924493,0.154236,0.154236,1.967031
5,0.166834,near,2.042898,0.408989,0.408989,3.337974
5,0.166834,far,1.088791,0.217976,0.217976,1.967031
6,0.200200,near,2.042898,0.408989,0.408989,3.337974
6,0.200200,far,1.088791,0.217976,0.217976,1.967031
7,0.233567,near,1.681219,0.447119,0.447119,3.337974
7,0.233567,far,0.760952,0.217976,0.217976,1.967031
8,0.266934,near,1.688353,0.485624,0.485624,3.337974
8,0.266934,far,1.021070,0.282483,0.282483,1.967031
9,0.300300,near,1.680076,0.522586,0.522586,3.337974
9,0.300300,far,1.020941,0.294889,0.294889,1.967031
10,0.333667,near,1.312472,0.560369,0.560369,3.337974
10,0.333667,far,1.020941,0.358629,0.358629,1.967031
11,0.367034,near,0.939615,0.597100,0.597100,3.337974
11,0.367034,far,0.702561,0.358629,0.358629,1.967031
12,0.400400,near,1.304851,0.670220,0.670220,3.337974
12,0.400400,far,1.020941,0.422369,0.422369,1.967031
13,0.433767,near,1.477366,0.742888,0.742888,3.337974
13,0.433767,far,1.020941,0.422369,0.422369,1.967031
14,0.467134,near,1.285032,0.742888,0.742888,3.337974
14,0.467134,far,0.698727,0.422369,0.422369,1.967031
15,0.500501,near,1.281058,0.779054,0.779054,3.337974
15,0.500501,far,0.636760,0.422369,0.422369,1.967031
16,0.533867,near,1.272423,0.815108,0.815108,3.337974
16,0.533867,far,0.636760,0.486108,0.486108,1.967031
17,0.567234,near,1.135432,0.824413,0.824413,3.337974
17,0.567234,far,0.955140,0.549848,0.549848,1.967031
18,0.600601,near,0.770196,0.824413,0.824413,3.337974
18,0.600601,far,0.955140,0.613588,0.613588,1.967031
19,0.633967,near,0.407220,0.824413,0.824413,3.337974
19,0.633967,far,1.273519,0.677327,0.677327,1.967031
20,0.667334,near,0.407220,0.824413,0.824413,3.337974
