frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.567512,0.037872,0.037872,1.135024
1,0.033367,far,0.000000,0.000000,0.000000,0.000000
2,0.066733,near,0.757875,0.075863,0.075863,1.138601
2,0.066733,far,0.000000,0.000000,0.000000,0.000000
3,0.100100,near,0.861070,0.114924,0.114924,1.170656
3,0.100100,far,0.000000,0.000000,0.000000,0.000000
4,0.133467,near,0.916569,0.152914,0.152914,1.170656
4,0.133467,far,0.000000,0.000000,0.000000,0.000000
5,0.166834,near,0.954170,0.191025,0.191025,1.170656
5,0.166834,far,0.000000,0.000000,0.000000,0.000000
6,0.200200,near,1.144532,0.229135,0.229135,1.170656
6,0.200200,far,0.000000,0.000000,0.000000,0.000000
7,0.233567,near,0.955361,0.229135,0.229135,1.170656
7,0.233567,far,0.000000,0.000000,0.000000,0.000000
8,0.266934,near,0.955355,0.267126,0.267126,1.170656
8,0.266934,far,0.000000,0.000000,0.000000,0.000000
9,0.300300,near,0.949415,0.304997,0.304997,1.170656
9,0.300300,far,0.000000,0.000000,0.000000,0.000000
10,0.333667,near,1.138658,0.380874,0.380874,2.274023
10,0.333667,far,0.000000,0.000000,0.000000,0.000000
11,0.367034,near,1.135695,0.418391,0.418391,2.274023
11,0.367034,far,0.000000,0.000000,0.000000,0.000000
12,0.400400,near,1.138437,0.457051,0.457051,2.274023
12,0.400400,far,0.329080,0.065882,0.065882,1.974478
13,0.433767,near,1.324673,0.494335,0.494335,2.274023
13,0.433767,far,0.329080,0.065882,0.065882,1.974478
14,0.467134,near,1.320571,0.531504,0.531504,2.274023
14,0.467134,far,0.329080,0.065882,0.065882,1.974478
15,0.500501,near,1.316484,0.568558,0.568558,2.274023
15,0.500501,far,0.329080,0.065882,0.065882,1.974478
16,0.533867,near,0.937480,0.568558,0.568558,2.274023
16,0.533867,far,0.329080,0.065882,0.065882,1.974478
17,0.567234,near,0.750081,0.568558,0.568558,2.274023
17,0.567234,far,0.329080,0.065882,0.065882,1.974478
18,0.600601,near,0.556978,0.568558,0.568558,2.274023
18,0.600601,far,0.329080,0.131764,0.131764,1.974478
19,0.633967,near,0.370741,0.568558,0.568558,2.274023
19,0.633967,far,0.329080,0.131764,0.131764,1.974478
20,0.667334,near,0.185082,0.568558,0.568558,2.274023
