frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.551815,0.036824,0.036824,1.103629
1,0.033367,far,0.000000,0.000000,0.000000,0.000000
2,0.066733,near,0.721112,0.072183,0.072183,1.103629
2,0.066733,far,0.619874,0.062049,0.062049,1.859623
3,0.100100,near,0.540834,0.072183,0.072183,1.103629
3,0.100100,far,0.464906,0.062049,0.062049,1.859623
4,0.133467,near,0.432667,0.072183,0.072183,1.103629
4,0.133467,far,0.371925,0.062049,0.062049,1.859623
5,0.166834,near,0.360556,0.072183,0.072183,1.103629
5,0.166834,far,0.309937,0.062049,0.062049,1.859623
6,0.200200,near,0.360556,0.072183,0.072183,1.103629
6,0.200200,far,0.309937,0.062049,0.062049,1.859623
7,0.233567,near,0.353774,0.107650,0.107650,1.103629
7,0.233567,far,0.309937,0.062049,0.062049,1.859623
8,0.266934,near,0.361620,0.144580,0.144580,1.106783
8,0.266934,far,0.000000,0.062049,0.062049,1.859623
9,0.300300,near,0.538771,0.180045,0.180045,1.106783
9,0.300300,far,0.000000,0.062049,0.062049,1.859623
10,0.333667,near,0.538771,0.180045,0.180045,1.106783
10,0.333667,far,0.000000,0.062049,0.062049,1.859623
11,0.367034,near,0.538771,0.180045,0.180045,1.106783
11,0.367034,far,0.000000,0.062049,0.062049,1.859623
12,0.400400,near,0.538771,0.180045,0.180045,1.106783
12,0.400400,far,0.309937,0.124099,0.124099,1.859623
13,0.433767,near,0.539313,0.215621,0.215621,1.106783
13,0.433767,far,0.309937,0.124099,0.124099,1.859623
14,0.467134,near,0.533091,0.251305,0.251305,1.106783
14,0.467134,far,0.619874,0.186148,0.186148,1.859623
15,0.500501,near,0.534730,0.287098,0.287098,1.106783
15,0.500501,far,0.929811,0.248198,0.248198,1.859623
16,0.533867,near,0.893972,0.359019,0.359019,2.155450
16,0.533867,far,0.929811,0.248198,0.248198,1.859623
17,0.567234,near,0.893972,0.359019,0.359019,2.155450
17,0.567234,far,1.239749,0.310247,0.310247,1.859623
18,0.600601,near,0.987292,0.377701,0.377701,2.155450
18,0.600601,far,0.990804,0.322458,0.322458,1.859623
19,0.633967,near,0.989482,0.413715,0.413715,2.155450
19,0.633967,far,0.990804,0.322458,0.322458,1.859623
20,0.667334,near,0.995723,0.450649,0.450649,2.155450
