frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.000000,0.000000,0.000000,0.000000
1,0.033367,far,0.000000,0.000000,0.000000,0.000000
2,0.066733,near,0.347924,0.034827,0.034827,1.043771
2,0.066733,far,1.265303,0.126657,0.126657,3.795910
3,0.100100,near,0.260943,0.034827,0.034827,1.043771
3,0.100100,far,2.365043,0.315655,0.315655,5.664264
4,0.133467,near,0.208754,0.034827,0.034827,1.043771
4,0.133467,far,1.892035,0.315655,0.315655,5.664264
5,0.166834,near,0.347924,0.069654,0.069654,1.043771
5,0.166834,far,1.576696,0.315655,0.315655,5.664264
6,0.200200,near,0.347924,0.069654,0.069654,1.043771
6,0.200200,far,1.576696,0.315655,0.315655,5.664264
7,0.233567,near,0.393480,0.078775,0.078775,1.043771
7,0.233567,far,1.576696,0.315655,0.315655,5.664264
8,0.266934,near,0.219518,0.078775,0.078775,1.043771
8,0.266934,far,1.263346,0.379579,0.379579,5.664264
9,0.300300,near,0.265075,0.087895,0.087895,1.043771
9,0.300300,far,0.631681,0.442117,0.442117,5.664264
10,0.333667,near,0.265075,0.087895,0.087895,1.043771
10,0.333667,far,0.942774,0.504398,0.504398,5.664264
11,0.367034,near,0.091113,0.087895,0.087895,1.043771
11,0.367034,far,0.942774,0.504398,0.504398,5.664264
12,0.400400,near,0.091113,0.087895,0.087895,1.043771
12,0.400400,far,1.003603,0.516576,0.516576,5.664264
13,0.433767,near,0.218979,0.122614,0.122614,1.043771
13,0.433767,far,1.003603,0.516576,0.516576,5.664264
14,0.467134,near,0.392402,0.157334,0.157334,1.043771
14,0.467134,far,0.684300,0.516576,0.516576,5.664264
15,0.500501,near,0.392402,0.166454,0.166454,1.043771
15,0.500501,far,0.371921,0.516576,0.516576,5.664264
16,0.533867,near,0.565826,0.201174,0.201174,1.043771
16,0.533867,far,0.377592,0.579992,0.579992,5.664264
17,0.567234,near,1.087704,0.305654,0.305654,3.131272
17,0.567234,far,0.687407,0.642017,0.642017,5.664264
18,0.600601,near,1.436159,0.375415,0.375415,3.131272
18,0.600601,far,0.936393,0.704042,0.704042,5.664264
19,0.633967,near,1.787249,0.480422,0.480422,3.147072
19,0.633967,far,1.246208,0.766067,0.766067,5.664264
20,0.667334,near,1.793797,0.516452,0.516452,3.147072
