Frame,Visibility,X,Y
0,1,563,487
1,1,564,486
2,1,563,488
3,1,562,486
4,1,562,487
5,1,561,484
6,1,563,483
7,1,562,483
8,1,563,482
9,1,563,479
10,1,564,478
11,1,565,475
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,1,631,391
25,1,649,370
26,1,659,361
27,1,672,352
28,1,683,339
29,1,693,334
30,1,699,327
31,1,711,325
32,1,717,320
33,1,726,315
34,1,729,315
35,0,0,0
36,1,743,318
37,1,750,319
38,1,755,321
39,1,761,325
40,1,767,329
41,1,773,333
42,1,777,340
43,1,782,349
44,1,787,352
45,1,789,361
46,1,795,368
47,1,796,368
48,1,806,355
49,1,806,346
50,1,814,335
51,1,815,329
52,1,818,324
53,1,819,319
54,1,818,315
55,1,819,315
56,1,820,311
57,1,822,311
58,1,823,312
59,1,823,315
60,1,826,319
61,1,826,322
62,1,827,328
63,1,828,333
64,1,830,340
65,1,830,348
66,1,830,357
67,1,831,367
68,1,830,376
69,1,831,387
70,1,832,398
71,1,830,413
72,1,832,423
73,1,830,439
74,1,830,455
75,1,830,446
76,1,827,423
77,1,828,404
78,1,826,389
79,1,820,380
80,1,821,369
81,1,819,356
82,1,818,345
83,1,817,339
84,1,818,329
85,1,817,324
86,1,817,322
87,1,815,318
88,1,815,317
89,1,813,314
90,1,813,313
91,1,811,312
92,1,812,315
93,1,813,319
94,1,813,321
95,1,813,326
96,1,814,331
97,1,813,338
98,1,815,346
99,1,814,354
100,1,813,363
101,1,814,373
102,0,0,0
103,1,824,324
104,0,0,0
105,1,837,269
106,1,842,244
107,1,848,221
108,1,854,205
109,1,857,188
110,1,861,173
111,1,864,158
112,1,868,146
113,1,872,136
114,1,875,128
115,1,879,119
116,1,881,112
117,1,884,105
118,1,885,102
119,1,889,100
120,1,891,98
121,1,893,94
122,1,894,97
123,1,895,98
124,1,898,102
125,1,900,103
126,1,902,109
127,1,902,116
128,1,903,124
129,1,905,133
130,1,905,144
131,1,906,157
132,1,906,168
133,1,906,183
134,1,907,195
135,1,906,211
136,1,907,228
137,0,0,0
138,1,907,262
139,1,905,282
140,1,905,300
141,1,905,319
142,1,905,340
143,1,903,362
144,1,903,383
145,0,0,0
146,0,0,0
147,0,0,0
148,1,837,303
149,1,792,197
150,1,764,128
151,1,741,80
152,1,724,41
153,1,711,9
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,1,581,3
188,1,581,13
189,1,581,24
190,1,581,38
191,1,580,51
192,1,580,64
193,1,580,79
194,1,581,93
195,1,580,108
196,1,579,122
197,1,579,137
198,1,602,183
199,1,623,224
200,1,644,255
201,1,660,283
202,1,673,311
203,1,685,338
204,1,695,357
205,1,703,378
206,1,713,399
207,1,720,419
208,1,726,440
209,1,733,463
210,1,740,480
211,1,746,500
212,1,750,520
213,1,753,539
214,1,751,464
215,1,750,396
216,1,750,352
217,1,749,321
218,0,0,0
219,1,746,271
220,1,746,252
221,0,0,0
222,1,746,225
223,1,744,216
224,1,743,207
225,1,743,198
226,1,743,193
227,1,742,188
228,1,742,186
229,1,742,184
230,1,742,182
231,1,742,181
232,1,742,183
233,1,741,185
234,1,741,187
235,1,741,190
236,1,742,193
237,1,742,196
238,1,747,202
239,1,751,206
240,1,754,209
241,1,755,209
242,1,762,211
243,1,764,217
244,1,765,222
245,0,0,0
246,1,771,234
247,1,774,241
248,1,777,251
249,1,779,261
250,1,782,270
251,1,783,283
252,1,785,290
253,1,787,302
254,1,790,316
255,1,791,329
256,1,794,344
257,1,795,356
258,1,797,371
259,1,798,387
260,1,798,404
261,1,799,420
262,1,801,437
263,1,801,455
264,1,803,471
265,1,803,476
266,1,803,451
267,1,805,422
268,1,803,404
269,1,803,388
270,1,805,376
271,1,804,363
272,1,804,350
273,1,806,345
274,1,805,338
275,1,805,332
276,1,805,329
277,1,804,325
278,1,806,323
279,1,807,321
280,1,806,321
281,1,806,320
282,1,806,322
283,1,807,322
284,1,807,327
285,1,806,329
286,1,807,335
287,1,807,341
288,1,807,347
289,1,807,352
290,1,807,362
291,1,807,372
292,1,806,380
293,1,806,389
294,1,813,351
295,1,817,316
