frame,time_s,visibility,x_px,y_px,court_x_m,court_y_m,speed_mps,is_missing,is_interpolated,source,confidence
0,0.000000,1,564.000,489.000,2.405394,7.814882,0.000000,0,0,reference,
1,0.033367,1,564.000,488.000,2.402915,7.773235,1.250370,0,0,reference,
2,0.066733,1,564.000,486.000,2.397927,7.689443,2.515688,0,0,reference,
3,0.100100,1,564.000,489.000,2.405394,7.814882,3.766058,0,0,reference,
4,0.133467,1,565.000,488.000,2.413761,7.773074,1.277843,0,0,reference,
5,0.166834,1,563.000,488.000,2.392068,7.773397,0.650212,0,0,reference,
6,0.200200,1,563.000,489.000,2.394569,7.815044,1.250425,0,0,reference,
7,0.233567,1,563.000,488.000,2.392068,7.773397,1.250425,0,0,reference,
8,0.266934,1,564.000,491.000,2.410323,7.897683,3.764834,0,0,reference,
9,0.300300,1,565.000,491.000,2.421105,7.897520,0.323172,0,0,reference,
10,0.333667,1,564.000,489.000,2.405394,7.814882,2.521023,0,0,reference,
11,0.367034,1,565.000,490.000,2.418667,7.856202,1.300676,0,0,reference,
12,0.400400,1,565.000,490.000,2.418667,7.856202,0.000000,0,0,reference,
13,0.433767,1,565.000,490.000,2.418667,7.856202,0.000000,0,0,reference,
14,0.467134,1,563.000,487.000,2.389558,7.731583,3.835359,0,0,reference,
15,0.500501,1,564.000,487.000,2.400426,7.731423,0.325760,0,0,reference,
16,0.533867,1,566.000,488.000,2.424607,7.772912,1.439227,0,0,reference,
17,0.567234,1,565.000,488.000,2.413761,7.773074,0.325086,0,0,reference,
18,0.600601,1,564.000,488.000,2.402915,7.773235,0.325099,0,0,reference,
19,0.633967,1,566.000,488.000,2.424607,7.772912,0.650185,0,0,reference,
20,0.667334,1,566.000,485.000,2.417240,7.646977,3.780736,0,0,reference,
21,0.700701,1,566.000,484.000,2.414765,7.604663,1.270329,0,0,reference,
22,0.734067,1,566.000,483.000,2.412280,7.562179,1.275422,0,0,reference,
23,0.767434,1,565.000,483.000,2.401325,7.562337,0.328350,0,0,reference,
24,0.800801,1,568.000,482.000,2.431737,7.519208,1.581615,0,0,reference,
25,0.834168,1,567.000,480.000,2.415785,7.433542,2.611548,0,0,reference,
26,0.867534,1,566.000,479.000,2.402239,7.390526,1.351602,0,0,reference,
27,0.900901,1,568.000,478.000,2.421834,7.346867,1.434200,0,0,reference,
28,0.934268,1,569.000,477.000,2.430420,7.303190,1.334061,0,0,reference,
29,0.967634,1,570.000,476.000,2.439041,7.259337,1.339428,0,0,reference,
30,1.001001,1,569.000,476.000,2.427932,7.259491,0.332974,0,0,reference,
31,1.034368,1,570.000,473.000,2.431583,7.127170,3.967165,0,0,reference,
32,1.067734,1,570.000,472.000,2.429076,7.082754,1.333284,0,0,reference,
33,1.101101,1,573.000,472.000,2.462675,7.082298,1.007039,0,0,reference,
34,1.134468,1,572.000,471.000,2.449005,7.037852,1.393621,0,0,reference,
35,1.167835,1,573.000,469.000,2.455302,6.947955,2.700819,0,0,reference,
36,1.201201,1,574.000,465.000,2.456690,6.766077,5.451048,0,0,reference,
37,1.234568,1,574.000,464.000,2.454194,6.720172,1.377815,0,0,reference,
38,1.267935,1,575.000,462.000,2.460604,6.627640,2.779829,0,0,reference,
39,1.301301,1,575.000,457.000,2.447983,6.393258,7.034599,0,0,reference,
40,1.334668,0,,,,,0.000000,1,0,missing,
41,1.368035,0,,,,,0.000000,1,0,missing,
42,1.401401,0,,,,,0.000000,1,0,missing,
43,1.434768,0,,,,,0.000000,1,0,missing,
44,1.468135,1,604.000,402.000,2.668203,3.442486,17.736111,0,0,reference,
45,1.501502,1,612.000,384.000,2.733004,2.301778,34.242162,0,0,reference,
46,1.534868,1,620.000,367.000,2.806095,1.126555,35.289487,0,0,reference,
47,1.568235,1,629.000,356.000,2.912968,0.309208,24.704384,0,0,reference,
48,1.601602,1,636.000,346.000,2.997912,0.000000,9.610295,0,0,reference,
49,1.634968,1,643.000,337.000,3.089240,0.000000,2.737110,0,0,reference,
50,1.668335,1,650.000,332.000,3.190680,0.000000,3.040145,0,0,reference,
51,1.701702,1,656.000,327.000,3.279159,0.000000,2.651709,0,0,reference,
52,1.735068,1,661.000,322.000,3.354118,0.000000,2.246542,0,0,reference,
53,1.768435,1,665.000,319.000,3.416392,0.000000,1.866335,0,0,reference,
54,1.801802,1,671.000,316.000,3.512529,0.000000,2.881222,0,0,reference,
55,1.835169,1,678.000,316.000,3.627146,0.000000,3.435073,0,0,reference,
56,1.868535,1,683.000,316.000,3.708984,0.000000,2.452699,0,0,reference,
57,1.901902,1,688.000,316.000,3.790797,0.000000,2.451929,0,0,reference,
58,1.935269,1,691.000,319.000,3.838219,0.000000,1.421246,0,0,reference,
59,1.968635,1,696.000,323.000,3.916151,0.000000,2.335602,0,0,reference,
60,2.002002,1,700.000,326.000,3.977360,0.000000,1.834438,0,0,reference,
61,2.035369,1,704.000,331.000,4.035295,0.000000,1.736334,0,0,reference,
62,2.068735,1,709.000,336.000,4.106993,0.000000,2.148780,0,0,reference,
63,2.102102,1,713.000,341.000,4.161474,0.000000,1.632791,0,0,reference,
64,2.135469,1,716.000,348.000,4.196477,0.000000,1.049057,0,0,reference,
65,2.168836,1,725.000,318.000,4.390999,0.000000,5.829806,0,0,reference,
66,2.202202,1,725.000,295.000,4.445185,0.000000,1.623944,0,0,reference,
67,2.235569,1,730.000,276.000,4.589046,0.000000,4.311521,0,0,reference,
68,2.268936,1,738.000,256.000,4.816401,0.000000,6.813848,0,0,reference,
69,2.302302,0,,,,,0.000000,1,0,missing,
70,2.335669,1,746.000,227.000,5.131825,0.000000,4.726630,0,0,reference,
71,2.369036,1,751.000,216.000,5.317563,0.000000,5.566559,0,0,reference,
72,2.402402,1,756.000,205.000,5.521546,0.000000,6.113367,0,0,reference,
73,2.435769,1,760.000,196.000,5.701661,0.000000,5.398052,0,0,reference,
74,2.469136,1,764.000,188.000,5.886630,0.000000,5.543527,0,0,reference,
75,2.502503,1,766.000,182.000,6.007880,0.000000,3.633846,0,0,reference,
76,2.535869,1,769.000,177.000,6.100000,0.000000,2.760841,0,0,reference,
77,2.569236,1,772.000,174.000,6.100000,0.000000,0.000000,0,0,reference,
78,2.602603,1,776.000,170.000,6.100000,0.000000,0.000000,0,0,reference,
79,2.635969,1,781.000,171.000,6.100000,0.000000,0.000000,0,0,reference,
80,2.669336,1,782.000,171.000,6.100000,0.000000,0.000000,0,0,reference,
81,2.702703,1,786.000,171.000,6.100000,0.000000,0.000000,0,0,reference,
82,2.736069,1,787.000,174.000,6.100000,0.000000,0.000000,0,0,reference,
83,2.769436,1,790.000,178.000,6.100000,0.000000,0.000000,0,0,reference,
84,2.802803,1,793.000,184.000,6.100000,0.000000,0.000000,0,0,reference,
85,2.836170,1,794.000,188.000,6.100000,0.000000,0.000000,0,0,reference,
86,2.869536,1,797.000,195.000,6.100000,0.000000,0.000000,0,0,reference,
87,2.902903,1,799.000,203.000,6.100000,0.000000,0.000000,0,0,reference,
88,2.936270,1,801.000,212.000,6.100000,0.000000,0.000000,0,0,reference,
89,2.969636,1,803.000,222.000,6.100000,0.000000,0.000000,0,0,reference,
90,3.003003,1,803.000,234.000,6.100000,0.000000,0.000000,0,0,reference,
91,3.036370,1,806.000,249.000,6.100000,0.000000,0.000000,0,0,reference,
92,3.069736,1,806.000,263.000,6.100000,0.000000,0.000000,0,0,reference,
93,3.103103,1,808.000,278.000,6.014796,0.000000,2.553556,0,0,reference,
