frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.484096,0.032305,0.032305,0.968193
1,0.033367,far,0.883125,0.058934,0.058934,1.766250
2,0.066733,near,0.415650,0.041607,0.041607,0.968193
2,0.066733,far,1.180283,0.118146,0.118146,1.774597
3,0.100100,near,0.795088,0.106118,0.106118,1.933401
3,0.100100,far,2.647787,0.353392,0.353392,7.050300
4,0.133467,near,0.819643,0.136744,0.136744,1.933401
4,0.133467,far,2.468174,0.411774,0.411774,7.050300
5,0.166834,near,0.836532,0.167474,0.167474,1.933401
5,0.166834,far,2.349801,0.470431,0.470431,7.050300
6,0.200200,near,1.145460,0.229321,0.229321,1.933401
6,0.200200,far,3.225504,0.645747,0.645747,7.050300
7,0.233567,near,1.144963,0.261527,0.261527,1.933401
7,0.233567,far,3.226816,0.704943,0.704943,7.050300
8,0.266934,near,1.144885,0.270813,0.270813,1.933401
8,0.266934,far,2.931050,0.704943,0.704943,7.050300
9,0.300300,near,1.031730,0.312670,0.312670,1.933401
9,0.300300,far,2.077000,0.769207,0.769207,7.050300
10,0.333667,near,0.878753,0.312670,0.312670,1.933401
10,0.333667,far,1.785379,0.769207,0.769207,7.050300
11,0.367034,near,0.886098,0.344871,0.344871,1.933401
11,0.367034,far,1.790781,0.828945,0.828945,7.050300
12,0.400400,near,0.738012,0.377071,0.377071,1.933401
12,0.400400,far,1.501645,0.946376,0.946376,7.050300
13,0.433767,near,0.730120,0.407697,0.407697,1.933401
13,0.433767,far,1.205958,0.946376,0.946376,7.050300
14,0.467134,near,0.730117,0.416982,0.416982,1.933401
14,0.467134,far,1.269625,0.959122,0.959122,7.050300
15,0.500501,near,0.567417,0.426268,0.426268,1.933401
15,0.500501,far,1.248601,1.019178,1.019178,7.050300
16,0.533867,near,0.567417,0.426268,0.426268,1.933401
16,0.533867,far,1.248601,1.019178,1.019178,7.050300
17,0.567234,near,0.560072,0.456998,0.456998,1.933401
17,0.567234,far,1.243193,1.077833,1.077833,7.050300
18,0.600601,near,0.552727,0.487728,0.487728,1.933401
18,0.600601,far,0.957968,1.138161,1.138161,7.050300
19,0.633967,near,0.561116,0.520033,0.520033,1.933401
19,0.633967,far,1.250954,1.196817,1.196817,7.050300
20,0.667334,near,0.514737,0.520033,0.520033,1.933401
