frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.000000,0.000000,0.000000,0.000000
1,0.033367,far,0.933391,0.062288,0.062288,1.866782
2,0.066733,near,0.000000,0.000000,0.000000,0.000000
2,0.066733,far,1.252040,0.125329,0.125329,1.889339
3,0.100100,near,0.000000,0.000000,0.000000,0.000000
3,0.100100,far,0.939030,0.125329,0.125329,1.889339
4,0.133467,near,0.000000,0.000000,0.000000,0.000000
4,0.133467,far,1.127573,0.188117,0.188117,1.889339
5,0.166834,near,0.000000,0.000000,0.000000,0.000000
5,0.166834,far,1.248278,0.249906,0.249906,1.889339
6,0.200200,near,0.000000,0.000000,0.000000,0.000000
6,0.200200,far,1.556912,0.311694,0.311694,1.889339
7,0.233567,near,0.000000,0.000000,0.000000,0.000000
7,0.233567,far,1.306567,0.323863,0.323863,1.889339
8,0.266934,near,0.000000,0.000000,0.000000,0.000000
8,0.266934,far,0.991678,0.323863,0.323863,1.889339
9,0.300300,near,0.000000,0.000000,0.000000,0.000000
9,0.300300,far,0.991678,0.323863,0.323863,1.889339
10,0.333667,near,0.000000,0.000000,0.000000,0.000000
10,0.333667,far,0.985450,0.385404,0.385404,1.889339
11,0.367034,near,0.000000,0.000000,0.000000,0.000000
11,0.367034,far,0.676816,0.385404,0.385404,1.889339
12,0.400400,near,0.174815,0.034998,0.034998,1.048889
12,0.400400,far,0.428848,0.397550,0.397550,1.889339
13,0.433767,near,0.349630,0.069996,0.069996,1.048889
13,0.433767,far,0.368062,0.397550,0.397550,1.889339
14,0.467134,near,0.524444,0.104994,0.104994,1.048889
14,0.467134,far,0.428728,0.409695,0.409695,1.889339
15,0.500501,near,0.524444,0.104994,0.104994,1.048889
15,0.500501,far,0.734891,0.470989,0.470989,1.889339
16,0.533867,near,0.524444,0.104994,0.104994,1.048889
16,0.533867,far,0.427494,0.470989,0.470989,1.889339
17,0.567234,near,0.699259,0.139992,0.139992,1.048889
17,0.567234,far,0.732432,0.532037,0.532037,1.889339
18,0.600601,near,0.524444,0.139992,0.139992,1.048889
18,0.600601,far,0.671766,0.532037,0.532037,1.889339
19,0.633967,near,0.349630,0.139992,0.139992,1.048889
19,0.633967,far,0.671766,0.532037,0.532037,1.889339
20,0.667334,near,0.174815,0.139992,0.139992,1.048889
