frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.583205,0.038919,0.038919,1.166411
1,0.033367,far,0.000000,0.000000,0.000000,0.000000
2,0.066733,near,0.388804,0.038919,0.038919,1.166411
2,0.066733,far,0.000000,0.000000,0.000000,0.000000
3,0.100100,near,0.291603,0.038919,0.038919,1.166411
3,0.100100,far,0.000000,0.000000,0.000000,0.000000
4,0.133467,near,0.233282,0.038919,0.038919,1.166411
4,0.133467,far,0.000000,0.000000,0.000000,0.000000
5,0.166834,near,0.194402,0.038919,0.038919,1.166411
5,0.166834,far,0.000000,0.000000,0.000000,0.000000
6,0.200200,near,0.194402,0.038919,0.038919,1.166411
6,0.200200,far,0.061902,0.012393,0.012393,0.371412
7,0.233567,near,0.000000,0.038919,0.038919,1.166411
7,0.233567,far,0.123804,0.024786,0.024786,0.371412
8,0.266934,near,0.000000,0.038919,0.038919,1.166411
8,0.266934,far,0.445621,0.089213,0.089213,1.930901
9,0.300300,near,0.000000,0.038919,0.038919,1.166411
9,0.300300,far,0.445621,0.089213,0.089213,1.930901
10,0.333667,near,0.000000,0.038919,0.038919,1.166411
10,0.333667,far,0.763564,0.152866,0.152866,1.930901
11,0.367034,near,0.000000,0.038919,0.038919,1.166411
11,0.367034,far,0.763564,0.152866,0.152866,1.930901
12,0.400400,near,0.194402,0.077839,0.077839,1.166411
12,0.400400,far,0.701662,0.152866,0.152866,1.930901
13,0.433767,near,0.242792,0.087526,0.087526,1.166411
13,0.433767,far,0.639760,0.152866,0.152866,1.930901
14,0.467134,near,0.291183,0.097214,0.097214,1.166411
14,0.467134,far,0.637037,0.216748,0.216748,1.930901
15,0.500501,near,0.291183,0.097214,0.097214,1.166411
15,0.500501,far,0.699054,0.229164,0.229164,1.930901
16,0.533867,near,0.291183,0.097214,0.097214,1.166411
16,0.533867,far,0.381111,0.229164,0.229164,1.930901
17,0.567234,near,0.291183,0.097214,0.097214,1.166411
17,0.567234,far,0.709404,0.294888,0.294888,1.969758
18,0.600601,near,0.096781,0.097214,0.097214,1.166411
18,0.600601,far,0.709404,0.294888,0.294888,1.969758
19,0.633967,near,0.048391,0.097214,0.097214,1.166411
19,0.633967,far,1.030822,0.359236,0.359236,1.969758
20,0.667334,near,0.000000,0.097214,0.097214,1.166411
