frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.609395,0.040667,0.040667,1.218790
1,0.033367,far,1.013369,0.067626,0.067626,2.026737
2,0.066733,near,0.812527,0.081334,0.081334,1.218790
2,0.066733,far,1.344439,0.134578,0.134578,2.026737
3,0.100100,near,0.914093,0.122001,0.122001,1.218790
3,0.100100,far,1.103484,0.147279,0.147279,2.026737
4,0.133467,near,0.975032,0.162668,0.162668,1.218790
4,0.133467,far,1.035035,0.172678,0.172678,2.026737
5,0.166834,near,1.005339,0.201269,0.201269,1.218790
5,0.166834,far,0.925965,0.185378,0.185378,2.026737
6,0.200200,near,1.198151,0.239870,0.239870,1.218790
6,0.200200,far,1.052836,0.210778,0.210778,2.026737
7,0.233567,near,1.187831,0.278471,0.278471,1.218790
7,0.233567,far,0.715046,0.210778,0.210778,2.026737
8,0.266934,near,1.177511,0.317072,0.317072,1.218790
8,0.266934,far,0.713767,0.277475,0.277475,2.026737
9,0.300300,near,1.177511,0.357739,0.357739,1.218790
9,0.300300,far,0.979100,0.343295,0.343295,2.026737
10,0.333667,near,1.177511,0.398406,0.398406,1.218790
10,0.333667,far,1.185357,0.409987,0.409987,2.026737
11,0.367034,near,1.187831,0.439073,0.439073,1.218790
11,0.367034,far,1.458458,0.477362,0.477362,2.026737
12,0.400400,near,1.198151,0.479740,0.479740,1.218790
12,0.400400,far,1.668123,0.544737,0.544737,2.026737
13,0.433767,near,1.005339,0.479740,0.479740,1.218790
13,0.433767,far,2.004660,0.612111,0.612111,2.026737
14,0.467134,near,0.812527,0.479740,0.479740,1.218790
14,0.467134,far,2.027089,0.683298,0.683298,2.133472
15,0.500501,near,0.802207,0.518341,0.518341,1.218790
15,0.500501,far,2.034828,0.750668,0.750668,2.133472
16,0.533867,near,0.791887,0.556942,0.556942,1.218790
16,0.533867,far,1.765134,0.763367,0.763367,2.133472
17,0.567234,near,0.637154,0.566631,0.566631,1.218790
17,0.567234,far,1.492033,0.776067,0.776067,2.133472
18,0.600601,near,0.482421,0.576321,0.576321,1.218790
18,0.600601,far,1.492006,0.843437,0.843437,2.133472
19,0.633967,near,0.482421,0.576321,0.576321,1.218790
19,0.633967,far,1.491979,0.910806,0.910806,2.133472
20,0.667334,near,0.482421,0.576321,0.576321,1.218790
