frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.139601,0.009316,0.009316,0.279201
1,0.033367,far,1.699259,0.113397,0.113397,3.398517
2,0.066733,near,0.093067,0.009316,0.009316,0.279201
2,0.066733,far,1.712108,0.171382,0.171382,3.398517
3,0.100100,near,0.069800,0.009316,0.009316,0.279201
3,0.100100,far,1.709884,0.228213,0.228213,3.398517
4,0.133467,near,0.055840,0.009316,0.009316,0.279201
4,0.133467,far,2.723382,0.454351,0.454351,6.777376
5,0.166834,near,0.046534,0.009316,0.009316,0.279201
5,0.166834,far,2.269485,0.454351,0.454351,6.777376
6,0.200200,near,0.046534,0.009316,0.009316,0.279201
6,0.200200,far,3.113260,0.623275,0.623275,6.777376
7,0.233567,near,0.000000,0.009316,0.009316,0.279201
7,0.233567,far,3.390615,0.792199,0.792199,6.777376
8,0.266934,near,0.000000,0.009316,0.009316,0.279201
8,0.266934,far,3.944755,0.961123,0.961123,6.777376
9,0.300300,near,0.154097,0.040166,0.040166,0.924583
9,0.300300,far,4.504661,1.130047,1.130047,6.777376
10,0.333667,near,0.154097,0.040166,0.040166,0.924583
10,0.333667,far,4.218873,1.298971,1.298971,6.777376
11,0.367034,near,0.308725,0.071123,0.071123,0.927768
11,0.367034,far,5.062647,1.467894,1.467894,6.777376
12,0.400400,near,0.617450,0.132930,0.132930,1.852351
12,0.400400,far,5.062647,1.636818,1.636818,6.777376
13,0.433767,near,0.617450,0.132930,0.132930,1.852351
13,0.433767,far,4.281819,1.649420,1.649420,6.777376
14,0.467134,near,0.771547,0.163780,0.163780,1.852351
14,0.467134,far,3.438044,1.649420,1.649420,6.777376
15,0.500501,near,0.617450,0.163780,0.163780,1.852351
15,0.500501,far,2.878126,1.706248,1.706248,6.777376
16,0.533867,near,0.617450,0.163780,0.163780,1.852351
16,0.533867,far,2.318207,1.763076,1.763076,6.777376
17,0.567234,near,0.462822,0.163780,0.163780,1.852351
17,0.567234,far,1.474433,1.763076,1.763076,6.777376
18,0.600601,near,0.154097,0.163780,0.163780,1.852351
18,0.600601,far,0.919990,1.821000,1.821000,6.777376
19,0.633967,near,0.154097,0.163780,0.163780,1.852351
19,0.633967,far,1.418263,1.933357,1.933357,6.777376
20,0.667334,near,0.000000,0.163780,0.163780,1.852351
