frame,time_s,visibility,x_px,y_px,court_x_m,court_y_m,speed_mps,is_missing,is_interpolated,source,confidence
0,0.000000,1,632.000,347.000,2.939661,0.000000,0.000000,0,0,reference,
1,0.033367,1,633.000,348.000,2.956596,0.000000,0.507549,0,0,reference,
2,0.066733,1,631.000,347.000,2.924644,0.000000,0.957592,0,0,reference,
3,0.100100,1,632.000,348.000,2.941622,0.000000,0.508811,0,0,reference,
4,0.133467,1,632.000,348.000,2.941622,0.000000,0.000000,0,0,reference,
5,0.166834,1,632.000,348.000,2.941622,0.000000,0.000000,0,0,reference,
6,0.200200,1,632.000,348.000,2.941622,0.000000,0.000000,0,0,reference,
7,0.233567,1,632.000,348.000,2.941622,0.000000,0.000000,0,0,reference,
8,0.266934,1,633.000,347.000,2.954676,0.000000,0.391248,0,0,reference,
9,0.300300,1,633.000,347.000,2.954676,0.000000,0.000000,0,0,reference,
10,0.333667,1,633.000,347.000,2.954676,0.000000,0.000000,0,0,reference,
11,0.367034,1,633.000,351.000,2.962292,0.000000,0.228252,0,0,reference,
12,0.400400,1,633.000,347.000,2.954676,0.000000,0.228252,0,0,reference,
13,0.433767,1,633.000,347.000,2.954676,0.000000,0.000000,0,0,reference,
14,0.467134,1,633.000,347.000,2.954676,0.000000,0.000000,0,0,reference,
15,0.500501,1,633.000,346.000,2.952746,0.000000,0.057850,0,0,reference,
16,0.533867,1,630.000,350.000,2.915724,0.000000,1.109558,0,0,reference,
17,0.567234,1,630.000,350.000,2.915724,0.000000,0.000000,0,0,reference,
18,0.600601,1,630.000,350.000,2.915724,0.000000,0.000000,0,0,reference,
19,0.633967,1,630.000,350.000,2.915724,0.000000,0.000000,0,0,reference,
20,0.667334,1,630.000,350.000,2.915724,0.000000,0.000000,0,0,reference,
21,0.700701,1,630.000,350.000,2.915724,0.000000,0.000000,0,0,reference,
22,0.734067,1,630.000,350.000,2.915724,0.000000,0.000000,0,0,reference,
23,0.767434,1,630.000,350.000,2.915724,0.000000,0.000000,0,0,reference,
24,0.800801,1,630.000,351.000,2.917734,0.000000,0.060244,0,0,reference,
25,0.834168,1,630.000,351.000,2.917734,0.000000,0.000000,0,0,reference,
26,0.867534,1,630.000,351.000,2.917734,0.000000,0.000000,0,0,reference,
27,0.900901,1,630.000,351.000,2.917734,0.000000,0.000000,0,0,reference,
