frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.533384,0.035595,0.035595,1.066767
1,0.033367,far,0.942726,0.062911,0.062911,1.885451
2,0.066733,near,0.711178,0.071189,0.071189,1.066767
2,0.066733,far,1.256967,0.125823,0.125823,1.885451
3,0.100100,near,0.672082,0.089701,0.089701,1.066767
3,0.100100,far,1.414088,0.188734,0.188734,1.885451
4,0.133467,near,0.537666,0.089701,0.089701,1.066767
4,0.133467,far,1.508361,0.251645,0.251645,1.885451
5,0.166834,near,0.625843,0.125294,0.125294,1.066767
5,0.166834,far,1.571209,0.314556,0.314556,1.885451
6,0.200200,near,0.672005,0.134535,0.134535,1.066767
6,0.200200,far,1.571209,0.314556,0.314556,1.885451
7,0.233567,near,0.494210,0.134535,0.134535,1.066767
7,0.233567,far,1.256967,0.314556,0.314556,1.885451
8,0.266934,near,0.493651,0.170018,0.170018,1.066767
8,0.266934,far,0.942726,0.314556,0.314556,1.885451
9,0.300300,near,0.401185,0.170018,0.170018,1.066767
9,0.300300,far,0.628484,0.314556,0.314556,1.885451
10,0.333667,near,0.578421,0.205501,0.205501,1.066767
10,0.333667,far,0.375788,0.326878,0.326878,1.885451
11,0.367034,near,0.577867,0.240983,0.240983,1.066767
11,0.367034,far,0.061546,0.326878,0.326878,1.885451
12,0.400400,near,0.708941,0.276466,0.276466,1.066767
12,0.400400,far,0.123093,0.339200,0.339200,1.885451
13,0.433767,near,0.886729,0.312059,0.312059,1.066767
13,0.433767,far,0.123093,0.339200,0.339200,1.885451
14,0.467134,near,0.709494,0.312059,0.312059,1.066767
14,0.467134,far,0.123093,0.339200,0.339200,1.885451
15,0.500501,near,0.887835,0.347763,0.347763,1.070043
15,0.500501,far,0.438641,0.402372,0.402372,1.893289
16,0.533867,near,1.248984,0.455547,0.455547,3.230309
16,0.533867,far,0.692643,0.465545,0.465545,1.893289
17,0.567234,near,1.252338,0.491701,0.491701,3.230309
17,0.567234,far,0.692643,0.465545,0.465545,1.893289
18,0.600601,near,1.260533,0.528825,0.528825,3.230309
18,0.600601,far,0.946644,0.528718,0.528718,1.893289
19,0.633967,near,1.263900,0.565092,0.565092,3.230309
19,0.633967,far,0.946644,0.528718,0.528718,1.893289
20,0.667334,near,1.449344,0.602218,0.602218,3.230309
