frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
0,0.000000,near,0.000000,0.000000,0.000000,0.000000
0,0.000000,far,0.000000,0.000000,0.000000,0.000000
1,0.033367,near,0.452775,0.030215,0.030215,0.905551
1,0.033367,far,0.887716,0.059240,0.059240,1.775432
2,0.066733,near,0.603701,0.060430,0.060430,0.905551
2,0.066733,far,0.718888,0.071961,0.071961,1.775432
3,0.100100,near,0.678398,0.090544,0.090544,0.905551
3,0.100100,far,0.972548,0.129803,0.129803,1.775432
4,0.133467,near,0.542718,0.090544,0.090544,0.905551
4,0.133467,far,1.124743,0.187645,0.187645,1.775432
5,0.166834,near,0.452265,0.090544,0.090544,0.905551
5,0.166834,far,1.226207,0.245487,0.245487,1.775432
6,0.200200,near,0.602680,0.120657,0.120657,0.905551
6,0.200200,far,1.515128,0.303329,0.303329,1.775432
7,0.233567,near,0.451755,0.120657,0.120657,0.905551
7,0.233567,far,1.219223,0.303329,0.303329,1.775432
8,0.266934,near,0.300830,0.120657,0.120657,0.905551
8,0.266934,far,1.155684,0.303329,0.303329,1.775432
9,0.300300,near,0.300830,0.150770,0.150770,0.905551
9,0.300300,far,0.866763,0.303329,0.303329,1.775432
10,0.333667,near,0.451245,0.180883,0.180883,0.905551
10,0.333667,far,0.577842,0.303329,0.303329,1.775432
11,0.367034,near,0.451245,0.180883,0.180883,0.905551
11,0.367034,far,0.577842,0.361171,0.361171,1.775432
12,0.400400,near,0.300830,0.180883,0.180883,0.905551
12,0.400400,far,0.352310,0.373861,0.373861,1.775432
13,0.433767,near,0.346818,0.190090,0.190090,0.905551
13,0.433767,far,0.639886,0.431434,0.431434,1.775432
14,0.467134,near,0.649167,0.250620,0.250620,1.814094
14,0.467134,far,0.927462,0.489007,0.489007,1.775432
15,0.500501,near,0.650695,0.281039,0.281039,1.814094
15,0.500501,far,0.927462,0.489007,0.489007,1.775432
16,0.533867,near,0.500280,0.281039,0.281039,1.814094
16,0.533867,far,1.223255,0.548225,0.548225,1.775432
17,0.567234,near,0.660052,0.313026,0.313026,1.814094
17,0.567234,far,0.934334,0.548225,0.548225,1.775432
18,0.600601,near,0.660052,0.313026,0.313026,1.814094
18,0.600601,far,0.870945,0.548225,0.548225,1.775432
19,0.633967,near,0.614064,0.313026,0.313026,1.814094
19,0.633967,far,0.583369,0.548225,0.548225,1.775432
20,0.667334,near,0.311715,0.313026,0.313026,1.814094
